acut_id,task_id,split,attempt,submission_status,terminal_status,verifier_exit_code,scoreable_cell,agent_failure,harness_error
gpt-5.4-mini,toolz__hist__001,B_real,1,submitted,invalid_output,,False,False,True
gpt-5.4-mini,toolz__hist__003,B_real,1,submitted,verified_fail,1,True,True,False
gpt-5.4-mini,toolz__hist__004,W_real,1,submitted,verified_fail,1,True,True,False
gpt-5.4-mini,toolz__hist__010,W_real,1,submitted,invalid_output,,False,False,True
gpt-5.4-mini,toolz__hist__002,B_real,1,submitted,invalid_output,,False,False,True
gpt-5.4-mini,toolz__hist__016,W_real,1,submitted,invalid_output,,False,False,True
gpt-5.4-mini,click__rbench__001,G_mini,1,submitted,invalid_output,,False,False,True
gpt-5.4-mini,click__rbench__002,G_mini,1,submitted,invalid_output,,False,False,True
gpt-5.4-mini,click__rbench__003,G_mini,1,submitted,invalid_output,,False,False,True
gpt-5.4-mini,click__rbench__004,G_mini,1,submitted,invalid_output,,False,False,True
